                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59499,                 2.3616,                 1.2227,                0.45744,                0.53995,                0.52105,                0.41638,                0.67526,                 2.0803,                 1.2042,             0.00036681,             0.00036681,             0.00036681
                      2,                0.63345,                 1.7242,                 1.2489,                0.32727,                0.43397,                0.38924,                0.25445,                  1.529,                 4.0726,                 2.9765,             0.00073227,             0.00073227,             0.00073227
                      3,                0.65486,                 1.5511,                 1.2467,                0.34728,                0.37219,                0.31769,                0.17136,                 1.3351,                  2.323,                 1.7515,              0.0010929,              0.0010929,              0.0010929
                      4,                0.63735,                 1.4154,                  1.234,                0.48843,                0.69794,                0.64536,                 0.4874,                0.87106,                   1.67,                 1.3849,               0.001089,               0.001089,               0.001089
                      5,                0.64256,                 1.3599,                 1.2332,                0.57721,                0.70895,                0.67331,                0.54306,                0.71345,                 1.4205,                 1.1838,              0.0010817,              0.0010817,              0.0010817
                      6,                 0.6221,                 1.2331,                 1.2135,                0.43039,                0.62541,                0.54776,                0.35731,                 1.3441,                 2.2527,                 1.9109,              0.0010743,              0.0010743,              0.0010743
                      7,                0.60349,                 1.1821,                 1.2062,                0.81525,                0.53503,                0.73414,                  0.634,                0.60266,                 1.2144,                 1.0435,               0.001067,               0.001067,               0.001067
                      8,                 0.5939,                 1.1264,                 1.1976,                0.55666,                0.64747,                0.69705,                0.58688,                0.67204,                 1.3563,                  1.122,              0.0010597,              0.0010597,              0.0010597
                      9,                0.57001,                 1.0439,                  1.183,                0.75283,                0.63434,                0.72248,                0.63801,                0.51664,                 1.3455,                0.98133,              0.0010523,              0.0010523,              0.0010523
                     10,                0.54234,                 1.0204,                 1.1614,                0.66257,                0.67119,                  0.714,                0.54647,                0.81202,                 1.1904,                 1.2805,               0.001045,               0.001045,               0.001045
                     11,                0.54256,                 1.0152,                 1.1646,                 0.8083,                0.72351,                0.83846,                0.75071,                0.48676,                0.89431,                0.93547,              0.0010377,              0.0010377,              0.0010377
                     12,                0.54061,                0.95742,                 1.1688,                0.81025,                0.72714,                0.82028,                 0.6914,                0.60847,                0.91759,                 1.0384,              0.0010303,              0.0010303,              0.0010303
                     13,                0.52259,                0.93806,                 1.1505,                0.74007,                0.76326,                0.80822,                0.72433,                0.49394,                0.90826,                0.94826,               0.001023,               0.001023,               0.001023
                     14,                 0.5069,                   0.92,                 1.1451,                0.73816,                0.77379,                0.84235,                0.76544,                0.43719,                0.86012,                0.89803,              0.0010157,              0.0010157,              0.0010157
                     15,                0.51587,                 0.9232,                 1.1447,                0.69868,                0.79133,                0.83881,                0.72005,                0.55362,                0.94318,                 1.0172,              0.0010083,              0.0010083,              0.0010083
                     16,                0.49553,                0.86959,                 1.1263,                0.75372,                0.67458,                0.79868,                0.67488,                 0.5823,                0.97828,                 1.0781,               0.001001,               0.001001,               0.001001
                     17,                0.50281,                 0.8449,                 1.1385,                0.64823,                0.78978,                0.82132,                0.73551,                0.46788,                0.97783,                0.93172,             0.00099368,             0.00099368,             0.00099368
                     18,                0.50403,                0.85971,                 1.1347,                0.69927,                0.79405,                0.85053,                0.74819,                0.49658,                0.99256,                0.92452,             0.00098635,             0.00098635,             0.00098635
                     19,                0.49011,                0.82209,                 1.1259,                0.65416,                0.78264,                0.84468,                 0.7581,                0.49819,                 1.0116,                0.91282,             0.00097901,             0.00097901,             0.00097901
                     20,                0.47973,                0.81376,                 1.1281,                0.71448,                0.81104,                0.84695,                0.77198,                0.43026,                0.88397,                0.88532,             0.00097168,             0.00097168,             0.00097168
                     21,                 0.4733,                0.80231,                 1.1174,                0.81449,                0.71964,                0.85203,                0.75685,                0.48189,                0.84416,                  0.935,             0.00096435,             0.00096435,             0.00096435
                     22,                0.48168,                0.77919,                 1.1233,                0.59506,                0.78061,                0.74883,                 0.5597,                0.86166,                 1.2597,                 1.3477,             0.00095702,             0.00095702,             0.00095702
                     23,                0.46229,                0.77846,                 1.1114,                0.77671,                0.78048,                0.85221,                0.77364,                0.43524,                0.82486,                0.88382,             0.00094968,             0.00094968,             0.00094968
                     24,                0.46367,                0.76262,                 1.1067,                0.77622,                0.84386,                0.88032,                0.80531,                0.43381,                0.74775,                0.87349,             0.00094235,             0.00094235,             0.00094235
                     25,                0.46822,                0.74585,                 1.1208,                0.78733,                0.80998,                0.88747,                 0.8068,                0.42376,                0.76267,                0.87601,             0.00093502,             0.00093502,             0.00093502
                     26,                0.46126,                0.73589,                 1.1074,                0.79656,                0.82674,                0.90192,                0.81923,                 0.4354,                0.73254,                0.88804,             0.00092769,             0.00092769,             0.00092769
                     27,                0.44079,                0.73201,                 1.0932,                0.82097,                0.84713,                0.91142,                0.84281,                0.39692,                0.65739,                0.84194,             0.00092035,             0.00092035,             0.00092035
                     28,                0.43763,                0.68765,                 1.0916,                0.74141,                0.79255,                0.88106,                 0.7827,                 0.4764,                0.85802,                0.93302,             0.00091302,             0.00091302,             0.00091302
                     29,                0.45006,                 0.7197,                 1.0962,                0.80275,                0.84681,                0.89155,                0.81533,                0.40958,                0.69025,                0.85348,             0.00090569,             0.00090569,             0.00090569
                     30,                0.45534,                 0.7181,                 1.1089,                0.78828,                0.82981,                0.89139,                0.79695,                0.47392,                0.76785,                 0.9275,             0.00089835,             0.00089835,             0.00089835
                     31,                0.44885,                 0.7196,                 1.0991,                0.82605,                0.78916,                 0.8919,                0.80538,                0.45281,                0.73302,                0.89746,             0.00089102,             0.00089102,             0.00089102
                     32,                0.43202,                0.66649,                 1.0858,                0.81754,                0.82624,                0.89575,                0.83149,                0.38557,                0.68165,                0.81283,             0.00088369,             0.00088369,             0.00088369
